rank_page,word,count_sum,rank_page_count,article_count,current_page_count,first_appear
1,2016,5,1,1,1,1
1,2018,8,1,2,2,1
1,300億機能益生菌,4,1,1,1,1
1,A17,5,1,1,1,1
1,BB536,4,1,1,1,1
1,BRAP,9,1,1,1,1
1,Bifidobacterium,4,3,4,1,1
1,BioOne,8,1,1,1,1
1,CRL1505,6,1,1,1,1
1,EFSA,5,1,1,1,1
1,Enterococcus,4,2,2,1,1
1,HB89,9,1,1,1,1
1,HN019,9,1,1,1,1
1,IMC501,4,1,1,1,1
1,K21,10,1,1,1,1
1,K47,6,1,1,1,1
1,KM97,5,1,1,1,1
1,LGG,17,3,6,1,1
1,LP,44,2,3,2,1
1,LP28,5,1,1,1,1
1,LP33,7,2,2,1,1
1,Lactobacillus,40,9,13,4,1
1,NCFM,10,2,2,1,1
1,PS128,10,1,1,1,1
1,PS23,6,1,1,1,1
1,Probiotics,8,1,1,1,1
1,SP1,4,1,1,1,1
1,paracasei,8,1,1,1,1
1,plantarum,7,1,1,1,1
1,product,7,3,3,1,1
1,products,4,2,2,1,1
1,rhamnosus,7,2,2,1,1
1,三得利,4,1,1,1,1
1,不適,8,1,1,1,1
1,中文,4,2,2,1,1
1,主菌,6,1,1,1,1
1,主菌種,21,1,2,2,1
1,主要,6,3,3,1,1
1,乳酸菌,30,10,24,5,1
1,了解,21,2,3,2,1
1,人體,14,8,16,3,1
1,介紹,9,1,1,1,1
1,代謝,10,2,2,1,1
1,伺機性病原菌,4,1,1,1,1
1,作者,4,1,1,1,1
1,使用,65,8,17,6,1
1,來源,5,5,5,1,1
1,便祕,5,1,1,1,1
1,便秘,12,2,2,1,1
1,促進,5,3,3,1,1
1,保健,14,3,3,1,1
1,保養,17,2,3,2,1
1,健康,46,9,33,7,1
1,價格,10,2,2,1,1
1,優質,4,1,1,1,1
1,優酪乳,11,4,5,2,1
1,入睡,4,1,1,1,1
1,內容,4,2,2,1,1
1,具備,11,1,2,2,1
1,具有,4,6,7,1,1
1,分成,4,1,1,1,1
1,分解,7,1,1,1,1
1,副乾酪乳桿菌,8,3,4,2,1
1,劑量,5,1,1,1,1
1,功效,121,7,13,5,1
1,功能,20,6,8,1,1
1,助消化,13,1,1,1,1
1,包埋,7,1,1,1,1
1,包括,9,3,5,1,1
1,化學,4,1,1,1,1
1,原因,5,2,2,1,1
1,參考,10,2,3,2,1
1,可溶性,4,3,3,1,1
1,台灣,19,3,4,2,1
1,吃益生菌,44,4,11,6,1
1,合適,6,1,1,1,1
1,同樣,4,1,1,1,1
1,品牌,22,4,5,2,1
1,問題,14,4,6,1,1
1,善存,6,1,1,1,1
1,嗜酸乳桿菌,4,3,3,1,1
1,嘗試,5,1,1,1,1
1,嚴謹,4,1,1,1,1
1,因子,5,2,2,1,1
1,國家,4,1,1,1,1
1,增加,9,4,7,2,1
1,壞菌,9,3,3,1,1
1,多數,4,1,1,1,1
1,大種,4,1,1,1,1
1,天然,9,2,2,1,1
1,女性,4,3,3,1,1
1,好菌,22,7,12,3,1
1,嬰兒,4,2,3,1,1
1,存活率,4,2,2,1,1
1,安全,5,4,4,1,1
1,安心,4,1,1,1,1
1,定殖,15,2,4,2,1
1,容易,7,5,7,1,1
1,寡糖,11,3,6,2,1
1,實證,5,1,1,1,1
1,實驗,5,2,2,1,1
1,專利,26,6,8,3,1
1,專利菌種,10,1,1,1,1
1,專家,4,1,1,1,1
1,專業,4,1,1,1,1
1,導致,5,1,1,1,1
1,小朋友,4,2,2,1,1
1,尿酸,5,1,1,1,1
1,差異,12,2,2,1,1
1,市售,11,2,2,1,1
1,市面上,4,4,4,1,1
1,幫助,67,6,13,5,1
1,建議,35,7,13,4,1
1,微生物,11,4,10,2,1
1,思緒,4,1,1,1,1
1,成分,19,5,5,1,1
1,打造,4,2,2,1,1
1,技術,11,3,5,2,1
1,抗生素,5,4,5,1,1
1,挑選,26,6,10,3,1
1,排便,5,3,3,1,1
1,排便順暢,5,1,1,1,1
1,推薦,71,3,7,4,1
1,提供,4,3,4,1,1
1,提升,14,2,3,2,1
1,搭配,15,1,3,3,1
1,擁有,5,2,2,1,1
1,支持,9,2,2,1,1
1,改善,26,6,12,4,1
1,效果,4,7,10,1,1
1,整理,4,2,2,1,1
1,數量,4,4,6,1,1
1,文章,7,3,4,1,1
1,新陳代謝,5,1,1,1,1
1,族群,19,1,3,3,1
1,日本,5,4,4,1,1
1,時間,9,4,6,2,1
1,最好,8,3,3,1,1
1,有助,19,2,3,2,1
1,有效,15,3,8,1,1
1,有用,4,1,1,1,1
1,有益,7,5,6,1,1
1,服用,12,5,8,1,1
1,期刊,5,2,2,1,1
1,森下仁丹,9,1,1,1,1
1,植物乳桿菌,8,3,3,1,1
1,概念,5,1,1,1,1
1,機能,26,1,1,1,1
1,機能性,6,1,1,1,1
1,檢驗,5,2,2,1,1
1,正常,5,2,3,1,1
1,母嬰,4,1,1,1,1
1,比菲德氏菌,5,4,4,1,1
1,比較,21,5,8,3,1
1,民眾,4,1,1,1,1
1,沒效,8,1,1,1,1
1,注意,8,2,3,1,1
1,海藻,4,1,1,1,1
1,消化,10,3,5,2,1
1,消化道,6,4,4,1,1
1,添加,15,5,10,3,1
1,添加物,17,3,4,2,1
1,減少,4,3,4,1,1
1,減肥,4,1,1,1,1
1,濃度,7,1,1,1,1
1,營養,9,5,7,2,1
1,營養師,19,2,3,2,1
1,牛奶,4,2,2,1,1
1,特殊,12,2,3,2,1
1,狀況,14,2,3,2,1
1,玉米,4,3,3,1,1
1,球菌,7,3,4,1,1
1,環境,4,8,13,1,1
1,甜味,4,2,2,1,1
1,生理,4,1,1,1,1
1,產品,74,10,24,5,1
1,留意,5,1,1,1,1
1,異位性皮膚炎,7,3,3,1,1
1,症狀,4,2,2,1,1
1,發揮,14,1,2,2,1
1,發現,7,5,5,1,1
1,發酵,12,5,5,1,1
1,益伏敏,4,1,1,1,1
1,益生菌,485,10,48,9,1
1,益生菌功效,14,1,1,1,1
1,益生菌品牌,5,1,1,1,1
1,益生菌好處,6,1,1,1,1
1,益生菌推薦,37,2,5,4,1
1,益生質,32,4,7,3,1
1,益菌,8,5,8,2,1
1,相關,18,5,6,2,1
1,看到,4,2,2,1,1
1,真正,4,2,2,1,1
1,知道,15,1,2,2,1
1,研發,6,1,1,1,1
1,研究,34,6,17,3,1
1,私密,8,3,4,2,1
1,私密保養,5,1,1,1,1
1,第四代,5,1,1,1,1
1,粉劑,8,1,1,1,1
1,細菌,4,4,6,1,1
1,維持,4,3,4,1,1
