rank_page,word,count_sum,count_mean,tfidf_mean,rank_article,rank_page_count,article_count,current_page_count,first_appear
1,2016,5,5.0,0.00825092803484755,9,1,1,1,1
1,2018,8,4.0,0.003998084612798533,9,1,2,2,1
1,300億機能益生菌,4,4.0,0.029600646443056638,9,1,1,1,1
1,A17,5,5.0,0.022440874490337104,9,1,1,1,1
1,BB536,4,4.0,0.0142508073453024,9,1,1,1,1
1,BRAP,9,9.0,0.04423597533793713,9,1,1,1,1
1,Bifidobacterium,4,4.0,0.02555207801126924,9,3,4,1,1
1,BioOne,8,8.0,0.027891251021305196,9,1,1,1,1
1,CRL1505,6,6.0,0.030609126721139024,9,1,1,1,1
1,EFSA,5,5.0,0.04344516041309941,9,1,1,1,1
1,Enterococcus,4,4.0,0.0245827351246487,9,2,2,1,1
1,HB89,9,9.0,0.053292039289683096,9,1,1,1,1
1,HN019,9,9.0,0.034477978126353635,9,1,1,1,1
1,IMC501,4,4.0,0.02791112139446335,9,1,1,1,1
1,K21,10,10.0,0.049912203558099784,9,1,1,1,1
1,K47,6,6.0,0.03404656769193469,9,1,1,1,1
1,KM97,5,5.0,0.031869017440106305,9,1,1,1,1
1,LGG,17,17.0,0.04918682465050747,9,3,6,1,1
1,LP,44,22.0,0.06237004665561152,9,2,3,2,1
1,LP28,5,5.0,0.021655247462867885,9,1,1,1,1
1,LP33,7,7.0,0.021170852022529763,9,2,2,1,1
1,Lactobacillus,40,10.0,0.04023549176652315,9,9,13,4,1
1,NCFM,10,10.0,0.03965579125478549,9,2,2,1,1
1,PS128,10,10.0,0.04130653092779811,9,1,1,1,1
1,PS23,6,6.0,0.030116128586695844,9,1,1,1,1
1,Probiotics,8,8.0,0.03929194896236444,9,1,1,1,1
1,SP1,4,4.0,0.016362578753775458,9,1,1,1,1
1,paracasei,8,8.0,0.03222914053906359,9,1,1,1,1
1,plantarum,7,7.0,0.026615713555098473,9,1,1,1,1
1,product,7,7.0,0.013485738259418982,9,3,3,1,1
1,products,4,4.0,0.008380452463012248,9,2,2,1,1
1,rhamnosus,7,7.0,0.026686259252357892,9,2,2,1,1
1,三得利,4,4.0,0.009492938837303802,9,1,1,1,1
1,不適,8,8.0,0.062188494916652126,9,1,1,1,1
1,中文,4,4.0,0.0035380255353388633,9,2,2,1,1
1,主菌,6,6.0,0.026467268194870774,9,1,1,1,1
1,主菌種,21,10.5,0.05997128075657182,9,1,2,2,1
1,主要,6,6.0,0.003784094316795112,9,3,3,1,1
1,乳酸菌,30,6.0,0.00962398789932804,9,10,24,5,1
1,了解,21,10.5,0.008524651930980134,9,2,3,2,1
1,人體,14,4.666666666666667,0.0092891405761608,9,8,16,3,1
1,介紹,9,9.0,0.00862603780141454,9,1,1,1,1
1,代謝,10,10.0,0.0204099907419411,9,2,2,1,1
1,伺機性病原菌,4,4.0,0.05077206697097079,9,1,1,1,1
1,作者,4,4.0,0.005035250192334782,9,1,1,1,1
1,使用,65,10.833333333333334,0.004739494823616549,9,8,17,6,1
