rank_page,word,count_sum,count_mean,rank_page_count,article_count,current_page_count,node_size,first_appear
1,300億機能益生菌,4,4.0,1,1,1,10.0,1
1,A17,5,5.0,1,1,1,10.0,1
1,BB536,4,4.0,1,1,1,10.0,1
1,BRAP,9,9.0,1,1,1,10.0,1
1,Bifidobacterium,4,4.0,2,3,1,15.0,1
1,BioOne,8,8.0,1,1,1,10.0,1
1,CRL1505,6,6.0,1,1,1,10.0,1
1,EFSA,5,5.0,1,1,1,10.0,1
1,Enterococcus,4,4.0,2,2,1,10.0,1
1,HB89,9,9.0,1,1,1,10.0,1
1,HN019,9,9.0,1,1,1,10.0,1
1,K21,10,10.0,1,1,1,10.0,1
1,K47,6,6.0,1,1,1,10.0,1
1,KM97,5,5.0,1,1,1,10.0,1
1,LGG,17,17.0,3,6,1,20.0,1
1,LP,40,40.0,2,2,1,10.0,1
1,LP28,5,5.0,2,2,1,10.0,1
1,LP33,7,7.0,2,2,1,10.0,1
1,Lactobacillus,38,12.666666666666666,7,13,3,18.571428571428573,1
1,NCFM,10,10.0,2,2,1,10.0,1
1,PS128,10,10.0,1,1,1,10.0,1
1,PS23,6,6.0,1,1,1,10.0,1
1,Probiotics,8,8.0,2,2,1,10.0,1
1,lactis,4,4.0,2,2,1,10.0,1
1,paracasei,8,8.0,2,2,1,10.0,1
1,plantarum,8,8.0,2,2,1,10.0,1
1,product,7,7.0,1,1,1,10.0,1
1,rhamnosus,6,6.0,3,3,1,10.0,1
1,不適,8,8.0,2,2,1,10.0,1
1,主菌,6,6.0,1,1,1,10.0,1
1,主菌種,21,10.5,1,2,2,20.0,1
1,乳酸菌,8,8.0,9,11,1,12.222222222222223,1
1,亞硝胺,4,4.0,1,1,1,10.0,1
1,人體,6,6.0,6,7,1,11.666666666666668,1
1,代謝,10,10.0,1,1,1,10.0,1
1,伺機性病原菌,4,4.0,1,1,1,10.0,1
1,依賴,5,5.0,2,2,1,10.0,1
1,便祕,5,5.0,2,2,1,10.0,1
1,保養,11,11.0,1,1,1,10.0,1
1,優酪乳,11,5.5,3,4,2,13.333333333333332,1
1,具備,6,6.0,1,1,1,10.0,1
1,副乾酪乳桿菌,8,4.0,4,5,2,12.5,1
1,劑量,5,5.0,2,2,1,10.0,1
1,功效,103,51.5,2,3,2,15.0,1
1,助消化,13,13.0,1,1,1,10.0,1
1,包埋,7,7.0,1,1,1,10.0,1
1,吃益生菌,41,8.2,5,9,5,18.0,1
1,合適,6,6.0,1,1,1,10.0,1
1,嗜酸乳桿菌,4,4.0,4,4,1,10.0,1
1,壞菌,9,9.0,4,4,1,10.0,1
1,大種,4,4.0,1,1,1,10.0,1
1,好菌,29,9.666666666666666,7,12,3,17.142857142857142,1
1,孕期,9,9.0,1,1,1,10.0,1
1,存活率,4,4.0,1,1,1,10.0,1
1,定殖,10,10.0,5,6,1,12.0,1
1,寡糖,11,5.5,5,7,2,14.0,1
1,實證,5,5.0,2,2,1,10.0,1
1,專利,25,8.333333333333334,6,8,3,13.333333333333332,1
1,專利菌種,10,10.0,1,1,1,10.0,1
1,尿酸,5,5.0,1,1,1,10.0,1
1,差異,12,12.0,1,1,1,10.0,1
1,市售,11,11.0,2,2,1,10.0,1
